beet,Path,Annotation
40,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\041,في
41,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\042,اليوم
42,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\043,لمدة 
43,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\044,أيام
44,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\045,أدول
45,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\046,مل
46,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\047,ثلاث
47,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\048,مرات
48,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\049,في
49,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\050,اليوم
50,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\051,عبدالله
51,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\052,حمد
52,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\053,سنة
53,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\054,ذكر
54,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\055,ملاحظة 
55,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\056,الاستخدام
56,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\057,ع 
57,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\058,مضاد
58,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\059,مضاد
59,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\060,ثلاث
60,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\061,مرات
61,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\062,في
62,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\063,اليوم
63,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\064,لمدة
64,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\065,أيام
65,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\066,قبل
66,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\067,النوم
67,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\068,أدول
68,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\069,مرتين
69,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\070,في
70,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\071,اليوم
71,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\072,عزا
72,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\073,سلطان
73,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\074,سنة
74,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\075,انثى
75,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\076,ملاحظة
76,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\077,الاستخدام   
77,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\078,ع
78,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\079,بروفين
79,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\080,مسكن
80,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\081,الآم
81,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\082,ثلاث
82,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\083,مرات
83,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\084,في    
84,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\085,اليوم
85,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\086,بعد
86,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\087,الاكل
87,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\088,أسم
88,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\089,المريض/
89,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\090,فاطمة
90,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\091,بنت
91,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\092,حمد
92,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\093,يصرف
93,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\094,له
94,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\095,الاتي:
95,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\096,شراب
96,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\097,عرق
97,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\098,السوس
98,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\099,مرتين
99,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\100,في
100,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\101,اليوم
101,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\102,5 ل 
102,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\103,ايام
103,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\104,100
104,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\105,ملي
105,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\106,في
106,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\107,المرة
107,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\108,الواحدة
108,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\109,دهان
109,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\110,زيت
110,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\111,الحبة
111,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\112,السوداء
112,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\113,3
113,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\114,مرات
114,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\115,كل يوم
115,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\116,ل 3 ايام
116,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\117,ملاحظة
117,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\118,يشرب
118,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\119,الدواء
119,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\120,الاول
120,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\121,قبل
121,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\122,الاكل
122,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\123,في
123,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\124,الصباح
124,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\125,وقبل
125,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\126,العشاء
126,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\127,في
127,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\128,الساء
128,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\129,أسم
129,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\130,المريض /
130,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\131,سعود
131,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\132,بن
132,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\133,علي
133,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\134,السعدي
134,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\135,يصرف
135,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\136,له
136,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\137,الاتي:- 
137,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\138,شراب
138,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\139,اللبان
139,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\140,3
140,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\141,مرات
141,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\142,كل
142,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\143,يوم
143,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\144,7 ل 
144,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\145,ايام
145,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\146,100
146,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\147,ملي
147,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\148,كل
148,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\149,مرة
149,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\150,2)
150,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\151,القسط
151,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\152,الهندي
152,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\153,ملعقة
153,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\154,واحدة
154,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\155,كل
155,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\156,يوم
156,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\157,3 ل 
157,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\158,ايام
158,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\159,ملاحظة
159,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\160,شراب
160,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\161,اللبان
161,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\162,قبل
162,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\163,الاكل
163,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\164,القسط
164,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\165,الهندي
165,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\166,بعد
166,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\167,الاكل
167,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\168,ملاحظة
168,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\169,الاستخدام
169,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\170,مرتين
170,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\171,في
171,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\172,اليوم
172,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\173,مرتين
173,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\174,في
174,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\175,اليوم
175,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\176,لمدة
176,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\177,خمسة
177,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\178,ايام
178,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\179,ملاحظة
179,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\180,الاستخدام
180,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\181,مرة
181,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\182,واحدة
182,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\183,في
183,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\184,اليوم
184,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\185,ملاحظة
185,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\186,الاستخدام
186,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\187,مرتين
187,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\188,في
188,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\189,اليوم
189,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\190,ملاحظة
190,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\191,الاستخدام
191,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\192,مرتين
192,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\193,في
193,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\194,اليوم
194,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\195,3
195,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\196,مرات
196,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\197,في
197,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\198,اليوم
198,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\199,صالح
199,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\200,محمد
200,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\201,الزدجالي
201,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\202,كمانتين
202,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\203,كبسول
203,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\204,mg 625
204,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\205,كبسولة
205,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\206,واحدة
206,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\207,كل
207,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\208,ثماني
208,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\209,ساعات
209,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\210,بونستان
210,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\211,كبسوله
211,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\212,Mg 500
212,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\213,كبسولة
213,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\214,ثلاث
214,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\215,مرات
215,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\216,مرات
216,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\217,أسراء
217,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\218,خالد
218,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\219,الزدجالي
219,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\220,مايوجيسك
220,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\221,حب
221,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\222,وحيد
222,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\223,حامد
223,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\224,العبري
224,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\225,أموكسيل
225,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\226,كبسولة
226,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\227,ملاحظة
227,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\228,مرة
228,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\229,واحدة
229,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\230,في
230,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\231,اليوم
231,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\232,لمدة
232,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\233,ايام
233,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\234,مرات
234,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\235,في
235,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\236,اليوم
236,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\237,ثلاث
237,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\238,مرات
238,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\239,في
239,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\240,اليوم
240,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\241,ملاحظة
241,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\242,الدواء
242,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\243,الاول
243,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\244,مرات
244,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\245,في
245,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\246,اليوم
246,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\247,الدواء
247,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\248,الثاني
248,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\249,مرة
249,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\250,واحدة
250,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\251,في
251,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\252,اليوم
252,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\253,يصرف
253,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\254,للمريض/
254,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\255,خليل
255,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\256,بن
256,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\257,علي
257,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\258,الكندي
258,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\259,دهان
259,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\260,الحجامة
260,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\261,مرة
261,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\262,واحدة
262,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\263,كل
263,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\264,يوم
264,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\265,ل
265,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\266,ايام
266,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\267,شراب
267,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\268,السوس
268,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\269,ات
269,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\270,كل
270,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\271,يوم
271,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\272,ل   
272,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\273,ايام
273,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\274,ملي
274,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\275,كل
275,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\276,مرة
276,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\277,ملاحظة
277,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\278,يستخدم 
278,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\279,شراب
279,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\280,السوس
280,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\281,بعد
281,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\282,الاكل
282,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\283,ملاحظة
283,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\284,يستخدم
284,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\285,الدواء
285,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\286,نصف
286,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\287,حبه
287,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\288,ات
288,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\289,في
289,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\290,اليوم
290,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\291,يستخدم
291,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\292,الدواء
292,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\293,مرات
293,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\294,في
294,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\295,اليوم
295,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\296,لمدة
296,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\297,أيام
297,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\298,ملاحظة
298,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\299,يستخدم
299,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\300,الدواء
300,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\301,واحدة
301,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\302,يستخدم
302,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\303,الدواء
303,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\304,مرتين
304,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\305,عزا
305,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\306,محمد
306,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\307,سلطان
307,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\308,36
308,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\309,سنة
309,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\310,انثى
310,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\311,ملاحظة
311,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\312,الاستخدام ع
312,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\313,مضاد
313,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\314,حيوي
314,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\315,ثلاث
315,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\316,مرات
316,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\317,في اليوم
317,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\318,بعد
318,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\319,الاكل
319,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\320,مضاد
320,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\321,حيوي
321,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\322,ثلاث
322,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\323,مرات
323,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\324,في
324,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\325,اليوم
325,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\326,بعد
326,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\327,الاكل
327,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\328,عبدالله
328,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\329,عبدون
329,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\330,سنة
330,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\331,ذكر
331,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\332,ملاحظة
332,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\333,الاستخدام ع
333,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\334,مل
334,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\335,قبل
335,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\336,النوم
336,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\337,أدول
337,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\338,نصف
338,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\339,حبة
339,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\340,مرتين
340,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\341,في
341,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\342,اليوم
342,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\343,مضاد
343,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\344,حيوي
344,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\345,ثلاث
345,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\346,مرات
346,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\347,في
347,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\348,اليوم
348,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\349,لمدة
349,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\350,أيام
350,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\351,عبدون
351,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\352,عبدالله
352,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\353,موسى
353,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\354,ذكر
354,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\355,ملاحظة
355,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\356,الاستخدام ع
356,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\357,أدول
357,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\358,مرتين
358,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\359,في
359,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\360,اليوم
360,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\361,مرتين
361,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\362,في
